Field,ID,Type (类型),default,zh-cn,en-us,,,,,,,
Description,2,文本,,一个简单的管理本地音乐的音乐播放器，用户界面基于Groove Music。这个App我只是写着玩给自己用，不过你一定要用我也不勉强哈哈。,"A Simple Music Player that manages local music files based on the UI of Groove Music. And I just write this app for fun and for myself. If you insist on using it, don't blame me on bugs.",,,,,,,
ReleaseNotes,3,文本,,多项优化以及问题修复。,Various Improvements and Bug Fixes.,,,,,,,
Title,4,文本,,简音播放器,SMPlayer,,,,,,,
ShortTitle,5,文本,,简音播放器,SMPlayer,,,,,,,
SortTitle,6,文本,,简音播放器,SMPlayer,,,,,,,
VoiceTitle,7,文本,,简音播放器,SMPlayer,,,,,,,
ShortDescription,8,文本,,一个简单的音乐播放器。,A Simple Music Player.,,,,,,,
DevStudio,9,文本,,,,,,,,,,
CopyrightTrademarkInformation,12,文本,,,,,,,,,,
AdditionalLicenseTerms,13,文本,,,,,,,,,,
DesktopScreenshot1,100,相对路径(或指向合作伙伴中心文件的 URL),,Screenshots/1zh.png,Screenshots/1en.png,,,,,,,
DesktopScreenshot2,101,相对路径(或指向合作伙伴中心文件的 URL),,Screenshots/2zh.png,Screenshots/2en.png,,,,,,,
DesktopScreenshot3,102,相对路径(或指向合作伙伴中心文件的 URL),,Screenshots/3zh.png,Screenshots/3en.png,,,,,,,
DesktopScreenshot4,103,相对路径(或指向合作伙伴中心文件的 URL),,Screenshots/4zh.png,Screenshots/4en.png,,,,,,,
DesktopScreenshot5,104,相对路径(或指向合作伙伴中心文件的 URL),,Screenshots/5zh.png,Screenshots/5en.png,,,,,,,
DesktopScreenshot6,105,相对路径(或指向合作伙伴中心文件的 URL),,Screenshots/6zh.png,Screenshots/6en.png,,,,,,,
DesktopScreenshot7,106,相对路径(或指向合作伙伴中心文件的 URL),,Screenshots/7zh.png,Screenshots/7en.png,,,,,,,
DesktopScreenshot8,107,相对路径(或指向合作伙伴中心文件的 URL),,Screenshots/8zh.png,Screenshots/8en.png,,,,,,,
DesktopScreenshot9,108,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
DesktopScreenshot10,109,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
DesktopScreenshotCaption1,150,文本,,,,,,,,,,
DesktopScreenshotCaption2,151,文本,,,,,,,,,,
DesktopScreenshotCaption3,152,文本,,,,,,,,,,
DesktopScreenshotCaption4,153,文本,,,,,,,,,,
DesktopScreenshotCaption5,154,文本,,,,,,,,,,
DesktopScreenshotCaption6,155,文本,,,,,,,,,,
DesktopScreenshotCaption7,156,文本,,,,,,,,,,
DesktopScreenshotCaption8,157,文本,,,,,,,,,,
DesktopScreenshotCaption9,158,文本,,,,,,,,,,
DesktopScreenshotCaption10,159,文本,,,,,,,,,,
MobileScreenshot1,200,相对路径(或指向合作伙伴中心文件的 URL),,Screenshots/6zh.png,Screenshots/6en.png,,,,,,,
MobileScreenshot2,201,相对路径(或指向合作伙伴中心文件的 URL),,Screenshots/7zh.png,Screenshots/7en.png,,,,,,,
MobileScreenshot3,202,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
MobileScreenshot4,203,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
MobileScreenshot5,204,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
MobileScreenshot6,205,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
MobileScreenshot7,206,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
MobileScreenshot8,207,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
MobileScreenshot9,208,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,
